Location, Size, Price, Mortgage (Monthly)
250 N Bishop Ave #25 Mill Hill  Bridgeport  CT,638 sqft,$33250,490
315 Granfield Ave #12A Mill Hill  Bridgeport  CT,401 sqft,$29900,569
393 Laurel Ave #405 West Side/ West End  Bridgeport  CT,703 sqft,$75000,651
103 Douglas St Resevoir  Bridgeport  CT,896 sqft,$129900,690
403 Granfield Ave #B Mill Hill  Bridgeport  CT,625 sqft,$25000,726
905 South Ave South End  Bridgeport  CT,600 sqft,$59900,740
905 South Ave South End  Bridgeport  CT,600 sqft,$59900,740
250 N Bishop Ave #39 Mill Hill  Bridgeport  CT,638 sqft,$89900,758
174 Pixlee Pl Mill Hill  Bridgeport  CT,3 283 sqft,$149000,780
334 Dover St Mill Hill  Bridgeport  CT,1 124 sqft,$155000,809
1791 E Main St Bridgeport  CT,1 196 sqft,$159000,828
2600 Park Ave #7G Brooklawn/ St. Vincent's  Bridgeport  CT,580 sqft,$95000,828
1791 E Main St Bridgeport  CT,1 196 sqft,$159000,828
1791 E Main St Bridgeport  CT,1 196 sqft,$159000,828
120 Huntington Tpke #108 West Side/ West End  Bridgeport  CT,801 sqft,$85900,829
66 Washington Ter Hollow  Bridgeport  CT,2 155 sqft,$159900,832
277 East Ave Mill Hill  Bridgeport  CT,1 227 sqft,$164000,852
277 East Ave Mill Hill  Bridgeport  CT,1 227 sqft,$164000,852
277 East Ave Mill Hill  Bridgeport  CT,1 227 sqft,$164000,852
1157 Ogden Street Ext Mill Hill  Bridgeport  CT,1 032 sqft,$165000,856
245 Success Ave #13 Mill Hill  Bridgeport  CT,800 sqft,$50000,861
749 Boston Ave #749 Bridgeport  CT,1 100 sqft,$128000,880
727 Boston Ave #727 Bridgeport  CT,1 100 sqft,$128000,880
483 Success Ave #BLD75 Mill Hill  Bridgeport  CT,675 sqft,$54900,884
34 Court C #74 Bridgeport  CT,622 sqft,$59000,904
34 Court C #74 Bridgeport  CT,622 sqft,$59000,904
34 Court C #74 Bridgeport  CT,622 sqft,$59000,904
349 Court D #48 Mill Hill  Bridgeport  CT,643 sqft,$60000,910
349 Court D #48 Mill Hill  Bridgeport  CT,643 sqft,$60000,910
349 Court D #48 Mill Hill  Bridgeport  CT,643 sqft,$60000,910
112 Glenwood Ave #112 Bridgeport  CT,700 sqft,$140000,913
112 Glenwood Ave #112 Bridgeport  CT,700 sqft,$140000,913
4 Forest Ct South End  Bridgeport  CT,750 sqft,$97000,920
270 East Ave Mill Hill  Bridgeport  CT,1 645 sqft,$178500,920
45 Sunshine Cir Resevoir  Bridgeport  CT,2 944 sqft,$180000,928
295 N Bishop Ave #12 Mill Hill  Bridgeport  CT,738 sqft,$59900,935
295 N Bishop Ave #12 Mill Hill  Bridgeport  CT,738 sqft,$59900,935
295 N Bishop Ave #12 Mill Hill  Bridgeport  CT,738 sqft,$59900,935
66 Oakview Cir #102 Hollow  Bridgeport  CT,715 sqft,$119000,943
80 Oakview Cir #203 Hollow  Bridgeport  CT,715 sqft,$119000,943
80 Oakview Cir #203 Hollow  Bridgeport  CT,715 sqft,$119000,943
368 Connecticut Ave #10 East End  Bridgeport  CT,870 sqft,$160000,957
219 6th St East End  Bridgeport  CT,1 452 sqft,$189000,969
1 Wallace Ct West Side/ West End  Bridgeport  CT,1 122 sqft,$189000,969
243 Jefferson St East End  Bridgeport  CT,851 sqft,$189900,974
105 Court D #32 Mill Hill  Bridgeport  CT,800 sqft,$78000,994
127 Court D #33 Mill Hill  Bridgeport  CT,692 sqft,$75000,1000
127 Court D #33 Mill Hill  Bridgeport  CT,692 sqft,$75000,1000
2625 Park Ave #15R Brooklawn/ St. Vincent's  Bridgeport  CT,677 sqft,$100000,1005
462 Glendale Ave #13 North End  Bridgeport  CT,781 sqft,$149900,1007
2768 Madison Ave #2A North End  Bridgeport  CT,850 sqft,$129900,1010
2768 Madison Ave #2A North End  Bridgeport  CT,850 sqft,$129900,1010
2768 Madison Ave #2A North End  Bridgeport  CT,850 sqft,$129900,1010
3006 Madison Ave #D North End  Bridgeport  CT,739 sqft,$139900,1020
141 Union Ave #10 East End  Bridgeport  CT,1 100 sqft,$65000,1021
141 Union Ave #10 East End  Bridgeport  CT,1 100 sqft,$65000,1021
141 Union Ave #10 East End  Bridgeport  CT,1 100 sqft,$65000,1021
110 Glenwood Ave #110 Bridgeport  CT,700 sqft,$159900,1022
127 Kennedy Dr #127 North End  Bridgeport  CT,1 023 sqft,$139000,1022
127 Kennedy Dr #127 North End  Bridgeport  CT,1 023 sqft,$139000,1022
325 Lafayette St #4305 South End  Bridgeport  CT,936 sqft,$125000,1026
21 Kennedy Dr #21 North End  Bridgeport  CT,1 023 sqft,$150000,1049
21 Kennedy Dr #21 North End  Bridgeport  CT,1 023 sqft,$150000,1049
60 Pleasant St Bridgeport  CT,1 912 sqft,$210000,1069
79 Kennedy Dr #79 North End  Bridgeport  CT,1 023 sqft,$149900,1075
1116 State St #1116 West Side/ West End  Bridgeport  CT,1 250 sqft,$179900,1076
1116 State St #1116 West Side/ West End  Bridgeport  CT,1 250 sqft,$179900,1076
390 Charles St #218 Brooklawn/ St. Vincent's  Bridgeport  CT,920 sqft,$153000,1084
995 Capitol Ave #C Brooklawn/ St. Vincent's  Bridgeport  CT,857 sqft,$169000,1090
120 Huntington Tpke #302 West Side/ West End  Bridgeport  CT,986 sqft,$134900,1095
120 Huntington Tpke #302 West Side/ West End  Bridgeport  CT,986 sqft,$134900,1095
81 Cherry Hill Dr #1B North End  Bridgeport  CT,850 sqft,$149900,1105
90 Hillcrest Rd Resevoir  Bridgeport  CT,1 152 sqft,$217750,1105
110 Benson St Brooklawn/ St. Vincent's  Bridgeport  CT,780 sqft,$219000,1112
28 Cherry Hill Dr #1B North End  Bridgeport  CT,850 sqft,$155000,1129
29 Sidney St Brooklawn/ St. Vincent's  Bridgeport  CT,1 296 sqft,$224900,1139
1030 Pembroke St Bridgeport  CT,1 148 sqft,$225000,1140
28 Tully Cir Bridgeport  CT,940 sqft,$225000,1140
1030 Pembroke St Bridgeport  CT,1 148 sqft,$225000,1140
2800 Madison Ave #2B North End  Bridgeport  CT,850 sqft,$158900,1147
199 Cherry Hill Dr #2A North End  Bridgeport  CT,850 sqft,$159999,1152
2625 Park Ave #2B Brooklawn/ St. Vincent's  Bridgeport  CT,823 sqft,$129000,1157
480 East Ave Mill Hill  Bridgeport  CT,1 252 sqft,$229900,1164
