Location, Size, Price, Mortgage (Monthly), , , Listing Link
310 Connecticut St Clinton Park Tri-Community  Houston  TX,759 sqft,$60000,386,,,https://www.trulia.com/p/tx/houston/310-connecticut-st-houston-tx-77029--2362973250
310 Connecticut St Clinton Park Tri-Community  Houston  TX,759 sqft,$60000,386,,,https://www.trulia.com/p/tx/houston/310-connecticut-st-houston-tx-77029--2362973250
3706 Herald St Pleasantville Area  Houston  TX,864 sqft,$65000,412,,,https://www.trulia.com/p/tx/houston/3706-herald-st-houston-tx-77029--2068575376
1818 Saint Elmo St Greater Fifth Ward  Houston  TX,520 sqft,$70000,438,,,https://www.trulia.com/p/tx/houston/1818-saint-elmo-st-houston-tx-77020--2068496876
1818 Saint Elmo St Greater Fifth Ward  Houston  TX,520 sqft,$70000,438,,,https://www.trulia.com/p/tx/houston/1818-saint-elmo-st-houston-tx-77020--2068496876
8433 Hearth Dr South Main  Houston  TX,1 040 sqft,$79500,487,,,https://www.trulia.com/p/tx/houston/8433-hearth-dr-houston-tx-77054--1037909802
8433 Hearth Dr South Main  Houston  TX,1 040 sqft,$79500,487,,,https://www.trulia.com/p/tx/houston/8433-hearth-dr-houston-tx-77054--1037909802
2700 McDaniel St Eastex - Jensen Area  Houston  TX,750 sqft,$80000,490,,,https://www.trulia.com/p/tx/houston/2700-mcdaniel-st-houston-tx-77093--2069094631
201 W Rosamond St #40 Northside-Northline  Houston  TX,624 sqft,$49000,498,,,https://www.trulia.com/p/tx/houston/201-w-rosamond-st-40-houston-tx-77076--2109781091
201 W Rosamond St #40 Northside-Northline  Houston  TX,624 sqft,$49000,498,,,https://www.trulia.com/p/tx/houston/201-w-rosamond-st-40-houston-tx-77076--2109781091
8614 Williamsdell St Acres Home  Houston  TX,936 sqft,$81999,500,,,https://www.trulia.com/property/7097671411-8614-Williamsdell-St-Houston-TX-77088
11509 Flaxman St Houston  TX,900 sqft,$85000,516,,,https://www.trulia.com/p/tx/houston/11509-flaxman-st-houston-tx-77029--2068573550
11509 Flaxman St Houston  TX,900 sqft,$85000,516,,,https://www.trulia.com/p/tx/houston/11509-flaxman-st-houston-tx-77029--2068573550
10202 Forum Park Dr #211 Westwood  Houston  TX,754 sqft,$49500,533,,,https://www.trulia.com/p/tx/houston/10202-forum-park-dr-211-houston-tx-77036--2068613161
3801 Broyles St Kashmere Gardens  Houston  TX,1 476 sqft,$90000,541,,,https://www.trulia.com/p/tx/houston/3801-broyles-st-houston-tx-77026--2505924949
4921 Fitch St Trinity - Houston Gardens  Houston  TX,696 sqft,$89900,541,,,https://www.trulia.com/p/tx/houston/4921-fitch-st-houston-tx-77016--2068464849
10309 Bainbridge St East Little York - Homestead  Houston  TX,1 068 sqft,$90000,541,,,https://www.trulia.com/p/tx/houston/10309-bainbridge-st-houston-tx-77016--2068461724
1709 Marjorie St Acres Home  Houston  TX,934 sqft,$90000,541,,,https://www.trulia.com/p/tx/houston/1709-marjorie-st-houston-tx-77088--2069041264
313 E Roselane St Northside-Northline  Houston  TX,920 sqft,$90000,542,,,https://www.trulia.com/p/tx/houston/313-e-roselane-st-houston-tx-77076--2109781466
9203 E Avenue K Harrisburg - Manchester  Houston  TX,524 sqft,$89900,542,,,https://www.trulia.com/p/tx/houston/9203-e-avenue-k-houston-tx-77012--2109750301
5625 Antoine Dr #1403 Greater Inwood  Houston  TX,1 027 sqft,$37000,555,,,https://www.trulia.com/p/tx/houston/5625-antoine-dr-1403-houston-tx-77091--2069077939
5625 Antoine Dr #1403 Greater Inwood  Houston  TX,1 027 sqft,$37000,555,,,https://www.trulia.com/p/tx/houston/5625-antoine-dr-1403-houston-tx-77091--2069077939
