Location, Size, Price, Mortgage (Monthly), , , Listing Link
250 N Bishop Ave #25 Mill Hill  Bridgeport  CT,638 sqft,$33250,490,,,https://www.trulia.com/p/ct/bridgeport/250-n-bishop-ave-25-bridgeport-ct-06610--2088483019
315 Granfield Ave #12A Mill Hill  Bridgeport  CT,401 sqft,$29900,569,,,https://www.trulia.com/p/ct/bridgeport/315-granfield-ave-12a-bridgeport-ct-06610--2427296653
393 Laurel Ave #405 West Side/ West End  Bridgeport  CT,703 sqft,$75000,651,,,https://www.trulia.com/p/ct/bridgeport/393-laurel-ave-405-bridgeport-ct-06605--2005423193
393 Laurel Ave #201 West Side/ West End  Bridgeport  CT,689 sqft,$80000,675,,,https://www.trulia.com/p/ct/bridgeport/393-laurel-ave-201-bridgeport-ct-06605--2005423160
393 Laurel Ave #201 West Side/ West End  Bridgeport  CT,689 sqft,$80000,675,,,https://www.trulia.com/p/ct/bridgeport/393-laurel-ave-201-bridgeport-ct-06605--2005423160
103 Douglas St Resevoir  Bridgeport  CT,896 sqft,$129900,690,,,https://www.trulia.com/p/ct/bridgeport/103-douglas-st-bridgeport-ct-06606--2005425578
403 Granfield Ave #B Mill Hill  Bridgeport  CT,625 sqft,$25000,726,,,https://www.trulia.com/p/ct/bridgeport/403-granfield-ave-b-bridgeport-ct-06610--2005450516
905 South Ave South End  Bridgeport  CT,600 sqft,$59900,740,,,https://www.trulia.com/p/ct/bridgeport/905-south-ave-bridgeport-ct-06604--2005419521
250 N Bishop Ave #39 Mill Hill  Bridgeport  CT,638 sqft,$89900,758,,,https://www.trulia.com/p/ct/bridgeport/250-n-bishop-ave-39-bridgeport-ct-06610--2088483034
44 Nob Hill Cir #D Bridgeport  CT,650 sqft,$82000,772,,,https://www.trulia.com/p/ct/bridgeport/44-nob-hill-cir-d-bridgeport-ct-06610--2005450802
44 Nob Hill Cir #D Bridgeport  CT,650 sqft,$82000,772,,,https://www.trulia.com/p/ct/bridgeport/44-nob-hill-cir-d-bridgeport-ct-06610--2005450802
174 Pixlee Pl Mill Hill  Bridgeport  CT,3 283 sqft,$149000,780,,,https://www.trulia.com/p/ct/bridgeport/174-pixlee-pl-bridgeport-ct-06610--2005448061
334 Dover St Mill Hill  Bridgeport  CT,1 124 sqft,$155000,809,,,https://www.trulia.com/p/ct/bridgeport/334-dover-st-bridgeport-ct-06610--2005449957
1791 E Main St Bridgeport  CT,1 196 sqft,$159000,828,,,https://www.trulia.com/p/ct/bridgeport/1791-e-main-st-bridgeport-ct-06610--2088482870
2600 Park Ave #7G Brooklawn/ St. Vincent's  Bridgeport  CT,580 sqft,$95000,828,,,https://www.trulia.com/p/ct/bridgeport/2600-park-ave-7g-bridgeport-ct-06604--2005415815
1791 E Main St Bridgeport  CT,1 196 sqft,$159000,828,,,https://www.trulia.com/p/ct/bridgeport/1791-e-main-st-bridgeport-ct-06610--2088482870
66 Washington Ter Hollow  Bridgeport  CT,2 155 sqft,$159900,832,,,https://www.trulia.com/p/ct/bridgeport/66-washington-ter-bridgeport-ct-06604--2005418625
277 East Ave Mill Hill  Bridgeport  CT,1 227 sqft,$164000,852,,,https://www.trulia.com/p/ct/bridgeport/277-east-ave-bridgeport-ct-06610--1002234738
277 East Ave Mill Hill  Bridgeport  CT,1 227 sqft,$164000,852,,,https://www.trulia.com/p/ct/bridgeport/277-east-ave-bridgeport-ct-06610--1002234738
1157 Ogden Street Ext Mill Hill  Bridgeport  CT,1 032 sqft,$165000,856,,,https://www.trulia.com/p/ct/bridgeport/1157-ogden-street-ext-bridgeport-ct-06610--2005446648
245 Success Ave #13 Mill Hill  Bridgeport  CT,800 sqft,$50000,861,,,https://www.trulia.com/p/ct/bridgeport/245-success-ave-13-bridgeport-ct-06610--2538719427
724 Brooks St Bridgeport  CT,840 sqft,$169900,879,,,https://www.trulia.com/p/ct/bridgeport/724-brooks-st-bridgeport-ct-06608--1007127236
724 Brooks St Bridgeport  CT,840 sqft,$169900,879,,,https://www.trulia.com/p/ct/bridgeport/724-brooks-st-bridgeport-ct-06608--1007127236
727 Boston Ave #727 Bridgeport  CT,1 100 sqft,$128000,880,,,https://www.trulia.com/p/ct/bridgeport/727-boston-ave-727-bridgeport-ct-06610--2183602010
483 Success Ave #BLD75 Mill Hill  Bridgeport  CT,675 sqft,$54900,884,,,https://www.trulia.com/p/ct/bridgeport/483-success-ave-bld75-bridgeport-ct-06610--2545150525
34 Court C #74 Bridgeport  CT,622 sqft,$59000,904,,,https://www.trulia.com/p/ct/bridgeport/34-court-c-74-bridgeport-ct-06610--2522139763
34 Court C #74 Bridgeport  CT,622 sqft,$59000,904,,,https://www.trulia.com/p/ct/bridgeport/34-court-c-74-bridgeport-ct-06610--2522139763
349 Court D #48 Mill Hill  Bridgeport  CT,643 sqft,$60000,910,,,https://www.trulia.com/p/ct/bridgeport/349-court-d-48-bridgeport-ct-06610--2549011483
349 Court D #48 Mill Hill  Bridgeport  CT,643 sqft,$60000,910,,,https://www.trulia.com/p/ct/bridgeport/349-court-d-48-bridgeport-ct-06610--2549011483
112 Glenwood Ave #112 Bridgeport  CT,700 sqft,$140000,913,,,https://www.trulia.com/p/ct/bridgeport/112-glenwood-ave-112-bridgeport-ct-06610--2173259556
4 Forest Ct South End  Bridgeport  CT,750 sqft,$97000,920,,,https://www.trulia.com/p/ct/bridgeport/4-forest-ct-bridgeport-ct-06604--2427293806
270 East Ave Mill Hill  Bridgeport  CT,1 645 sqft,$178500,920,,,https://www.trulia.com/p/ct/bridgeport/270-east-ave-bridgeport-ct-06610--2005449348
45 Sunshine Cir Resevoir  Bridgeport  CT,2 944 sqft,$180000,928,,,https://www.trulia.com/p/ct/bridgeport/45-sunshine-cir-bridgeport-ct-06606--2005435829
295 N Bishop Ave #12 Mill Hill  Bridgeport  CT,738 sqft,$59900,935,,,https://www.trulia.com/p/ct/bridgeport/295-n-bishop-ave-12-bridgeport-ct-06610--2463133710
295 N Bishop Ave #12 Mill Hill  Bridgeport  CT,738 sqft,$59900,935,,,https://www.trulia.com/p/ct/bridgeport/295-n-bishop-ave-12-bridgeport-ct-06610--2463133710
80 Oakview Cir #203 Hollow  Bridgeport  CT,715 sqft,$119000,943,,,https://www.trulia.com/p/ct/bridgeport/80-oakview-cir-203-bridgeport-ct-06604--2005419124
368 Connecticut Ave #10 East End  Bridgeport  CT,870 sqft,$160000,957,,,https://www.trulia.com/p/ct/bridgeport/368-connecticut-ave-10-bridgeport-ct-06607--2005442255
219 6th St East End  Bridgeport  CT,1 452 sqft,$189000,969,,,https://www.trulia.com/p/ct/bridgeport/219-6th-st-bridgeport-ct-06607--1062097145
1 Wallace Ct West Side/ West End  Bridgeport  CT,1 122 sqft,$189000,969,,,https://www.trulia.com/p/ct/bridgeport/1-wallace-ct-bridgeport-ct-06605--2005421602
243 Jefferson St East End  Bridgeport  CT,851 sqft,$189900,974,,,https://www.trulia.com/p/ct/bridgeport/243-jefferson-st-bridgeport-ct-06607--2005441837
105 Court D #32 Mill Hill  Bridgeport  CT,800 sqft,$78000,994,,,https://www.trulia.com/p/ct/bridgeport/105-court-d-32-bridgeport-ct-06610--2428599563
127 Court D #33 Mill Hill  Bridgeport  CT,692 sqft,$75000,1000,,,https://www.trulia.com/p/ct/bridgeport/127-court-d-33-bridgeport-ct-06610--2543269410
2625 Park Ave #15R Brooklawn/ St. Vincent's  Bridgeport  CT,677 sqft,$100000,1005,,,https://www.trulia.com/p/ct/bridgeport/2625-park-ave-15r-bridgeport-ct-06604--2005416065
