Location, Size, Price, Mortgage (Monthly)
5722 Easthampton Dr #B Houston  TX,1 527 sqft,$90000,708
8626 Elm Lake Dr Mission Bend  Houston  TX,1 418 sqft,$175000,1010
3810 Mohlerbruk Dr Houston  TX,1 650 sqft,$198000,1121
5419 Fairview Forest Dr Houston  TX,1 752 sqft,$199800,1134
12454 W Beaupre Point Dr Houston  TX,1 928 sqft,$210000,1203
15819 Thistledew Dr Houston  TX,1 510 sqft,$215000,1203
10622 Logger Pine Trl Houston  TX,1 780 sqft,$220000,1214
22418 Trail Tree Ln Kingwood  Kingwood  TX,1 602 sqft,$216900,1226
10414 Dewey Eve Ct Houston  TX,2 200 sqft,$235000,1323
7523 Abbey Point Ln Houston  TX,2 268 sqft,$245000,1374
1218 Imperial Bend Dr Houston  TX,1 988 sqft,$261100,1460
14935 Shady Bend Dr Houston  TX,2 009 sqft,$264900,1477
16039 Pinyon Creek Dr Houston  TX,2 514 sqft,$264900,1499
8218 Ivy Point Ct Mission Bend  Houston  TX,2 439 sqft,$277900,1547
3103 Greenwood Glen Dr Kingwood  Kingwood  TX,2 271 sqft,$296900,1622
12603 Misty Valley Dr Houston  TX,2 956 sqft,$299000,1674
16735 Township Meadows Ct Houston  TX,2 499 sqft,$300000,1685
9306 Tepee Trl Houston  TX,2 452 sqft,$303900,1691
16647 Greenbriar Point Ln Houston  TX,2 535 sqft,$308900,1752
1102 Terranova Ln Houston  TX,3 534 sqft,$324900,1807
7911 Bosphorus St Lake Houston  Houston  TX,1 933 sqft,$324900,1840
8203 Fairgrove Park Ct Houston  TX,2 842 sqft,$342900,1921
4918 Vanbury Dr Houston  TX,2 678 sqft,$359830,1999
14307 Hartshill Dr Houston  TX,3 950 sqft,$395000,2195
13514 Pemberwick Park Ln Houston  TX,3 369 sqft,$405200,2213
8514 Brighton Lake Ln Houston  TX,3 660 sqft,$425000,2347
5815 E Post Oak Ln Spring Branch East  Houston  TX,2 169 sqft,$417900,2405
18010 Calavatra Ln Lake Houston  Houston  TX,2 674 sqft,$444900,2471
14122 Woodville Gardens Dr Eldridge - West Oaks  Houston  TX,2 524 sqft,$473900,2587
9030 Sandringham Dr Greater Uptown  Houston  TX,21 738 sqft,$19950000,103415
